Date,Index,Price (actual),Price,Price.lower,Price.upper
2020-09-14,North America,3414.81,3301.4016300227213,3118.0766257258465,3784.644718792252
2020-09-14,Pacific,2722.625,2628.450054691576,2121.3371347697007,2878.3574207072006
2020-09-14,World,2396.374,2470.2782252656734,2121.4407999727045,2761.754663058642
2020-09-15,EMU,196.162,199.7061395155098,53.800997987189476,214.60488255750198
2020-09-15,Emerging Markets,1112.619,1075.1361322924072,835.1760172045165,1232.7760854662354
2020-09-15,Europe,1658.75,1742.2038388855476,1174.193389813282,1831.6690623718757
2020-09-15,North America,3435.33,3300.8111663429895,3117.4861620461147,3784.0542551125204
2020-09-15,Pacific,2716.357,2624.3862670305675,2117.273347108692,2874.293633046192
2020-09-15,World,2407.975,2441.4299220699477,2092.592496776979,2732.9063598629164
2020-09-16,EMU,196.532,200.54748966163297,54.64234813331265,215.44623270362513
2020-09-16,Emerging Markets,1116.994,1078.7445438086775,838.7844287207868,1236.3844969825056
2020-09-16,Europe,1665.255,1730.6376069467374,1162.6271578744718,1820.1028304330655
2020-09-16,North America,3417.882,3272.565027274042,3089.240022977167,3755.8081160435727
2020-09-16,Pacific,2738.261,2624.419399366598,2117.3064794447227,2874.3267653822227
2020-09-16,World,2403.5,2412.220376865789,2063.3829515728203,2703.696814658758
2020-09-17,EMU,194.99,200.8750405454875,54.969899017167194,215.77378358747967
2020-09-17,Emerging Markets,1106.819,1086.963005311318,847.0028902234274,1244.6029584851462
2020-09-17,Europe,1653.206,1688.0096593345959,1119.9992102623303,1777.474882820924
2020-09-17,North America,3387.88,3148.455757279899,2965.130752983024,3631.69884604943
2020-09-17,Pacific,2718.353,2654.581441844935,2147.4685219230596,2904.4888078605595
2020-09-17,World,2383.538,2378.466663145388,2029.6292378524192,2669.9431009383566
2020-09-18,EMU,194.18,201.0041187487953,55.09897722047498,215.90286179078748
2020-09-18,Emerging Markets,1108.532,1088.9182064098163,848.9580913219256,1246.5581595836445
2020-09-18,Europe,1649.351,1684.831955489834,1116.8215064175683,1774.297178976162
2020-09-18,North America,3355.302,3082.2562919732195,2898.9312876763447,3565.4993807427504
2020-09-18,Pacific,2731.616,2647.881552860279,2140.7686329384037,2897.7889188759036
2020-09-18,World,2367.993,2372.1165913778996,2023.279166084931,2663.5930291708682
2020-09-21,EMU,185.304,201.0041187487953,55.09897722047498,215.90286179078748
2020-09-21,Emerging Markets,1090.35,1092.2674007182618,852.3072856303711,1249.90735389209
2020-09-21,Europe,1580.914,1687.7604865011149,1119.7500374288493,1777.225709987443
2020-09-21,North America,3319.83,2991.73736385649,2808.412359559615,3474.980452626021
2020-09-21,Pacific,2711.602,2639.5900568389015,2132.477136917026,2889.497422854526
2020-09-21,World,2329.494,2342.57537921768,1993.7379539247115,2634.051817010649
2020-09-22,EMU,184.961,201.0041187487953,55.09897722047498,215.90286179078748
2020-09-22,Emerging Markets,1082.865,1083.287534845217,843.3274197573262,1240.927488019045
2020-09-22,Europe,1579.087,1680.4566054860668,1112.4461564138012,1769.921828972395
2020-09-22,North America,3352.909,3039.672922836704,2856.347918539829,3522.916011606235
2020-09-22,Pacific,2694.872,2631.475435450074,2124.362515528199,2881.382801465699
2020-09-22,World,2343.388,2341.570475915217,1992.7330506222486,2633.046913708186
2020-09-23,EMU,185.334,201.0041187487953,55.09897722047498,215.90286179078748
2020-09-23,Emerging Markets,1077.698,1086.7150228793757,846.754907791485,1244.354976053204
2020-09-23,Europe,1583.912,1683.617744352527,1115.6072952802615,1773.0829678388552
2020-09-23,North America,3271.731,3039.1103291394693,2855.7853248425945,3522.353417909
2020-09-23,Pacific,2697.49,2661.018703355607,2153.905783433732,2910.9260693712317
2020-09-23,World,2305.571,2358.8679994856784,2010.0305741927098,2650.344437278647
2020-09-24,EMU,183.691,201.14602407211507,55.240882543794754,216.04476711410723
2020-09-24,Emerging Markets,1057.742,1088.5908202592238,848.6307051713331,1246.230773433052
